,ChainID,StoreID,ItemCode,PromotionID,PromotionDescription,PromotionStartDate,PromotionStartHour,PromotionEndDate,PromotionEndHour,MinQty,DiscountedPrice,DiscountedPricePerMida
0,72906,,6210661,,3ב10.90 באגט בונזור - מאפית,2019/10/27,06:00:00,2020/05/30,23:59:00,3,10.90,0
1,72906,,7290104857041,,4ב10 כוסות שתיה קרה,2019/10/27,06:00:00,2020/05/30,23:59:00,4,10,0
2,72906,,7290013083661,,2ב110 מטרנה אקסטרה קייר 700  מעל 100 מוגבל מימוש,2020/02/02,06:00:00,2020/05/30,23:59:00,2,110,7.86
3,72906,,7290013083678,,2ב110 מטרנה אקסטרה קייר 700  מעל 100 מוגבל מימוש,2020/02/02,06:00:00,2020/05/30,23:59:00,2,110,7.86
4,72906,,7290013083685,,2ב110 מטרנה אקסטרה קייר 700  מעל 100 מוגבל מימוש,2020/02/02,06:00:00,2020/05/30,23:59:00,2,110,7.86
5,72906,,7290001265116,,16.90 מטרנה גם וגם מעל 100 מוגבל ל1 יחידה,2019/10/27,06:00:00,2020/05/30,23:59:00,1,16.90,5.63
6,72906,,7290012600036,,2ב20 פחם 2קג,2019/10/27,06:00:00,2020/05/30,23:59:00,2,20,0.50
7,72906,,7290015253055,,2ב20 פחם 2קג,2019/10/27,06:00:00,2020/05/30,23:59:00,2,20,0.50
8,72906,,7290015941976,,2ב20 פחם 2קג,2019/10/27,06:00:00,2020/05/30,23:59:00,2,20,0.50
9,72906,,7290104855122,,2ב10 כוסות שתיה חמה פאלס,2019/12/01,06:00:00,2020/05/30,06:59:00,2,10,0.10
10,72906,,7290104857416,,2ב10 כוסות שתיה חמה פאלס,2019/12/01,06:00:00,2020/05/30,06:59:00,2,10,0
11,72906,,7290003107315,,4ב10 סולת דגן 1קג,2019/10/27,06:00:00,2020/05/30,23:00:00,4,10,10
12,72906,,7290016150117,,2ב10 סלק וואקום,2020/04/21,06:00:00,2020/05/30,23:00:00,2,10,0
13,72906,,4000415388706,,3ב10 שוקולד מריר 60% יעד ממתקים,2020/03/01,06:00:00,2020/05/30,23:59:00,3,10,10
14,72906,,7290016144000,,3ב25 קמח חיטה ניפלאות,2019/10/27,06:00:00,2020/05/30,23:59:00,3,25,0.83
15,72906,,7290016144017,,3ב25 קמח חיטה ניפלאות,2019/10/27,06:00:00,2020/05/30,23:59:00,3,25,0.83
16,72906,,7290016144031,,3ב18 קמח לבן ניפלאות מנופה,2019/10/27,06:00:00,2020/05/30,23:59:00,3,18,0.60
17,72906,,7290016144048,,2ב30 קמח כוסמין 1קג - נפלאות,2019/10/27,06:00:00,2020/05/30,23:59:00,2,30,1.50
18,72906,,7290016144055,,2ב25 קמח כוסמין מלא 100% / כוסמין 80%,2019/10/27,06:00:00,2020/05/30,23:59:00,2,25,1.25
19,72906,,7290013267726,,2ב15 מנגום/פסק זמן/סולרו בודד,2019/10/27,06:00:00,2020/05/30,23:59:00,2,15,750
20,72906,,7290014785564,,3ב12 אטריות מוכנות - טעמי אסיה,2019/10/27,06:00:00,2020/05/30,23:59:00,3,12,2
21,72906,,7290013608635,,3ב14 נקטר פרימור 1 ליטר,2019/10/30,06:00:00,2020/05/30,23:59:00,3,14,0
22,72906,,7290013608673,,3ב14 נקטר פרימור 1 ליטר,2019/10/30,06:00:00,2020/05/30,23:59:00,3,14,0
23,72906,,7290002007890,,2ב10 כוסות שתיה קרה הנמל,2019/10/31,06:00:00,2020/05/30,23:00:00,2,10,0.05
24,72906,,2439714,,49.90כתף טרי ללא עצם כשר מעל 100 מוגבל ל3 קג,2020/02/27,06:00:00,2020/05/30,23:59:00,1,49.90,0
25,72906,,2447405,,49.90צוואר צלעות טרי כשר מעל 100,2020/02/27,06:00:00,2020/05/30,23:59:00,1,49.90,0
26,72906,,15712,,39.90כתף עם עצם חלק טרי מעל 100,2020/02/27,06:00:00,2020/05/30,23:59:00,1,39.90,39.90
27,72906,,1714676,,49.90קוביות לגולש טרי ארוז חלק מעל 100,2020/02/27,06:00:00,2020/05/30,23:59:00,1,49.90,0
28,72906,,7290010676590,,2ב15.90ירקות קפואים 600-800 גר',2019/11/12,06:00:00,2020/05/30,23:59:00,2,15.90,0.99
29,72906,,7290010676637,,2ב15.90ירקות קפואים 600-800 גר',2019/11/12,06:00:00,2020/05/30,23:59:00,2,15.90,0.99
30,72906,,7290010676644,,2ב15.90ירקות קפואים 600-800 גר',2019/11/12,06:00:00,2020/05/30,23:59:00,2,15.90,0.99
31,72906,,7290017616179,,2ב15.90ירקות קפואים 600-800 גר',2019/11/12,06:00:00,2020/05/30,23:59:00,2,15.90,0.99
32,72906,,7290017616186,,2ב15.90ירקות קפואים 600-800 גר',2019/11/12,06:00:00,2020/05/30,23:59:00,2,15.90,0.99
33,72906,,7290002409021,,2ב22 מלוואח/ג'חנון ציפור השרון,2019/11/18,06:00:00,2020/05/30,23:00:00,2,22,22
34,72906,,7290002409076,,2ב22 מלוואח/ג'חנון ציפור השרון,2019/11/18,06:00:00,2020/05/30,23:00:00,2,22,1.38
35,72906,,7290008975551,,44.90מטרנה חלבית/מהדרין מעל 100 מוגבל 2,2019/12/29,06:00:00,2020/05/30,23:59:00,1,44.90,6.41
