,ItemName,ManufactureName,UnitQty,Quantity,QtyInPackage,ItemPrice,UnitOfMeasurePrice
0,דובדבן אדום ארוז,ביכורי הנגב מ.ד בעמ,"י""ח",,1,19.90,19.90
1,דג פילה סלמון טרי,ח.י. מעדני גורמה בעמ,"ק""ג",,1,99.90,99.90
2,משמש,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,29.90,29.90
3,שזיף אדום,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,10.90,10.90
4,ענבים,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,39.90,39.90
5,תאנים שקיל,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,30,30
6,דובדבן לבן ארוז,ביכורי הנגב מ.ד בעמ,"י""ח",,1,19.90,19.90
7,קוקטייל עוף טרי מקוצב,ח.י. מעדני גורמה בעמ,"ק""ג",,1,42.90,42.90
8,"תמרים בקרטון 5ק""ג",טוב המושב,"י""ח",,1,59.90,59.90
9,תאנים שקילה[פירות  יבשה],שושן פירות יבשים בעמ,"ק""ג",,1,30,3
10,יופלה תות 3%,תנובה בעמ ***,"י""ח",,1,5,3.33
11,יופלה פטל,תנובה בעמ ***,"י""ח",,1,5,3.33
12,יופלה דובדבן,תנובה בעמ ***,"י""ח",,1,5,3.33
13,יופלה אפרסק,תנובה בעמ ***,"י""ח",,1,5,3.33
14,שיפודי  פרגיות**.,ח.י. מעדני גורמה בעמ,"ק""ג",,1,69.90,69.90
15,סטייק פרגיות  עוף טרי**,ח.י. מעדני גורמה בעמ,"ק""ג",,1,69.90,69.90
16,פרגית עוף לתנור עם עצם טרי**,ח.י. מעדני גורמה בעמ,"ק""ג",,1,44.90,44.90
17,בשר טחון טרי מנתח מובחר,ח.י. מעדני גורמה בעמ,"ק""ג",,1,59.90,59.90
18,מוקה 1 ליטר תנובה,תנובה בעמ ***,"י""ח",,1,12.80,12.80
19,יוגורט תנובה 1.5% 200גרם,תנובה בעמ ***,"י""ח",,1,3.20,1.60
20,יוגורט תנובה 3% 200גרם,תנובה בעמ ***,"י""ח",,1,3.20,1.60
21,שוקו 1 ל`,תנובה בעמ ***,"י""ח",,1,11.90,11.90
22,קפה נמס טסטר צוייס ללא קפאין,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,37.90,18.95
23,תות קפוא 300ג  סנפרוסט,תנובה בשר,"י""ח",,1,19.90,3.98
24,סמוטיז צהוב 300ג.,תנובה בשר,"י""ח",,1,16.90,5.63
25,סמוטיז ירוק 300ג,תנובה בשר,"י""ח",,1,16.90,5.63
26,סמוטיז אדום 300ג,תנובה בשר,"י""ח",,1,16.90,5.63
27,שייק תות בננה  300ג.,תנובה בעמ ***,"י""ח",,1,17.90,5.97
28,שייק קייל מנגו בננה ופפאיה 300ג,תנובה בשר,"י""ח",,1,17.90,5.97
29,אוכמניות כחולות  מוקפאות 300ג,תנובה בשר,"י""ח",,1,16.90,5.63
30,מיקס פירות יער מוקפא  300ג,תנובה בשר,"י""ח",,1,16.90,5.63
31,אננס מוקפא 300ג,תנובה בשר,"י""ח",,1,16.90,5.63
32,מנגו מוקפא 300ג,תנובה בשר,"י""ח",,1,16.90,5.63
33,פטל שחור מוקפא 300ג,תנובה בשר,"י""ח",,1,16.90,5.63
34,דודבן חמוץ  מוקפא  300ג,תנובה בשר,"י""ח",,1,16.90,5.63
35,לקט ירקות לתנור}סנפרוסט{,תנובה בשר,"י""ח",,1,22.90,2.86
36,לקט לעוף 800גרם סנפרוסט,תנובה בשר,"י""ח",,1,22.90,2.86
37,לקט לפשטידה }800 סנפרוסט{,תנובה בשר,"י""ח",,1,21.90,2.74
38,גזר גמדי 800 גרם,תנובה בשר,"י""ח",,1,17.90,2.24
39,~שעועית חתוכה ירוקה 800 ג`,תנובה בשר,"י""ח",,1,17.90,2.24
40,שעועית צהובה חתוכה 800 ג`,תנובה בשר,"י""ח",,1,17.90,2.24
41,כרובית 800 גרם}סנפרוסט{,תנובה בשר,"י""ח",,1,25.90,3.24
