,ChainID,StoreID,ItemCode,PromotionID,PromotionDescription,PromotionStartDate,PromotionStartHour,PromotionEndDate,PromotionEndHour,MinQty,DiscountedPrice,DiscountedPricePerMida
0,72906,,7290017687117,,"*צלחות 2ב30ש 1ק""ג עבות במיוחד קבוע :",2020/01/18,06:00:00,2023/01/01,23:59:59,2,30,0.23
1,72906,,3318131,,וופל 4ב10ש מנעמים 200ג קבוע *,2020/01/04,06:00:00,2022/01/01,23:59:59,4,10,1.25
2,72906,,7290003318100,,וופל 4ב10ש מנעמים 200ג קבוע *,2020/01/04,06:00:00,2022/01/01,23:59:59,4,10,1
3,72906,,350,,פילה מושט 8ב70 טרי כ-100גר,2019/12/10,06:00:00,2023/01/01,06:00:00,8,70,0
4,72906,,1134153,,גרון הודו ב9.90 קפוא **,2019/12/15,06:00:00,2022/01/01,23:59:59,1,9.90,0
5,72906,,3069705,,פיצה 9ב20ש אישית קבוע *,2019/11/18,06:00:00,2023/01/01,06:00:00,9,20,20
6,72906,,7290014204560,,"*סבון ב10ש  500מ""ל ידיים 1/3 קבוע :",2019/11/18,06:00:00,2022/01/01,23:59:59,1,10,20
7,72906,,7290017296128,,"*סבון ב10ש  500מ""ל ידיים 1/3 קבוע :",2019/11/18,06:00:00,2022/01/01,23:59:59,1,10,20
8,72906,,7290017296135,,"*סבון ב10ש  500מ""ל ידיים 1/3 קבוע :",2019/11/18,06:00:00,2022/01/01,23:59:59,1,10,20
9,72906,,7290012226120,,קבנוס 2ב18ש 135ג קבוע :,2019/11/19,06:00:00,2023/01/01,06:00:00,2,18,6.67
10,72906,,7290012226922,,קבנוס 2ב18ש 135ג קבוע :,2019/11/19,06:00:00,2023/01/01,06:00:00,2,18,6.67
11,72906,,7290012227912,,קבנוס 2ב18ש 135ג קבוע :,2019/11/19,06:00:00,2023/01/01,06:00:00,2,18,6.67
12,72906,,1459911,,ירקות 2ב20 800גר קפואים המשתתפים *,2020/03/31,06:00:00,2022/01/01,23:59:59,2,20,1.25
13,72906,,1459942,,ירקות 2ב20 800גר קפואים המשתתפים *,2020/03/31,06:00:00,2022/01/01,23:59:59,2,20,1.25
14,72906,,2909996,,ירקות 2ב20 800גר קפואים המשתתפים *,2020/03/31,06:00:00,2022/01/01,23:59:59,2,20,1.25
15,72906,,3718610,,ירקות 2ב20 800גר קפואים המשתתפים *,2020/03/31,06:00:00,2022/01/01,23:59:59,2,20,1.67
16,72906,,7290000631424,,פרגיות 2ב120ש עוף טרי,2020/03/08,06:00:00,2022/01/01,06:59:00,2,120,120
17,72906,,7622010001858,,אוראו 2ב15ש קרם וניל  :,2020/05/03,06:00:00,2020/05/30,23:59:59,2,15,4.26
18,72906,,5904941751302,,בלו 8ב20ש מ.א. סד. רגולר קבוע :,2020/04/30,06:00:00,2022/01/01,23:59:59,8,20,0.88
19,72906,,7290014094789,,קבוקים 3ב10ש /בוטן/גרין 150ג המוץג קבוע,2019/05/09,06:10:00,2023/01/01,23:59:59,3,10,1.96
20,72906,,7290014471160,,קבוקים 3ב10ש /בוטן/גרין 150ג המוץג קבוע,2019/05/09,06:10:00,2023/01/01,23:59:59,3,10,2.22
21,72906,,7290014471177,,קבוקים 3ב10ש /בוטן/גרין 150ג המוץג קבוע,2019/05/09,06:10:00,2023/01/01,23:59:59,3,10,2.22
22,72906,,41414,,אנטריף ב69.90 טרי,2019/11/28,06:00:00,2023/01/01,23:59:59,1,69.90,0
23,72906,,41268,,אסאדו עם עצם 2ב120 טרי,2019/11/28,06:00:00,2023/01/01,06:00:00,2,120,0
24,72906,,41390,,חזה בקר 2ב110 טרי עם עצם,2019/11/28,06:00:00,2023/01/01,23:59:59,2,110,0
25,72906,,2069,,צוואר 2ב110ש בקר טרי,2019/11/28,06:00:00,2023/01/01,06:00:00,2,110,110
26,72906,,41427,,צלעות 2ב120ש טרי,2019/11/28,06:00:00,2023/01/01,06:00:00,2,120,0
27,72906,,7290113861497,,"שמן ז. 2ב49.90ש 2מנות 750מ""ל קבוע :",2020/03/24,06:00:00,2022/01/01,23:59:59,2,49.90,0
28,72906,,7290005896415,,"בירה איגל 4ב21 500מ""ל  קבוע !",2020/02/02,06:00:00,2023/01/01,06:00:00,4,21,0.99
29,72906,,7290006229588,,"בירה איגל 4ב21 500מ""ל  קבוע !",2020/02/02,06:00:00,2023/01/01,06:00:00,4,21,1.50
30,72906,,7290014356061,,*פסטה 4ב10ש שדות 500ג קבוע,2020/05/03,06:00:00,2022/01/01,23:59:59,4,10,0.50
31,72906,,7290014356085,,*פסטה 4ב10ש שדות 500ג קבוע,2020/05/03,06:00:00,2022/01/01,23:59:59,4,10,0.50
32,72906,,7290014356450,,*פסטה 4ב10ש שדות 500ג קבוע,2020/05/03,06:00:00,2022/01/01,23:59:59,4,10,0.50
33,72906,,2129479,,*פיצה 3ב25ש איטלקית דקה,2020/05/03,06:00:00,2020/05/15,23:59:59,3,25,2.60
34,72906,,2507604,,*פיצה 3ב25ש איטלקית דקה,2020/05/03,06:00:00,2020/05/15,23:59:59,3,25,2.60
35,72906,,7290003457946,,*טילון 6ב30ש /מגנום בודד,2020/05/03,06:00:00,2020/05/15,23:59:59,6,30,0
