,ItemName,ManufactureName,UnitQty,Quantity,QtyInPackage,ItemPrice,UnitOfMeasurePrice
0,בשר טחון טרי מנתח מובחר,ח.י. מעדני גורמה בעמ,"ק""ג",,1,59.90,59.90
1,דג סלמון קפוא מנות תנובה 6*200גר,תנובה בשר,"ק""ג",,1,99.90,99.90
2,"פפסי מקס ליים שישייה פחיות 330מ""ל דל ק",טמפו משקאות בעמ,"י""ח",,1,16.90,7.63
3,בצק עלים  צרפתי מעדנות 1 קג,תנובה בשר,"י""ח",,1,21.90,21.90
4,בורקס גבינה מעדנות 800 ג`,תנובה בשר,"י""ח",,1,19.90,2.49
5,"בורקס מעדנות תפו""א",תנובה בשר,"י""ח",,1,19.90,2.49
6,"מלווח חיסכוני 1.4 ק""ג",תנובה בשר,"י""ח",,1,27.90,19.93
7,ריבועי בצק עלים,תנובה בשר,"י""ח",,1,21.90,2.74
8,בלינצ ס עלים,תנובה בשר,"י""ח",,1,25.90,3.70
9,שניצל תירס 750 גרם,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,25.90,3.45
10,כבד  פטם}קפוא{,נטו מלינדה סחר בעמ,"ק""ג",,1,14.90,14.90
11,כבד עוף קפוא,תנובה בשר,"ק""ג",,1,12.90,12.90
12,כרעיים עוף טרי(קצביה )**.,ח.י. מעדני גורמה בעמ,"ק""ג",,1,27.90,27.90
13,פילה סלמון מעושן פרוס 60גר,תנובה בשר,"י""ח",,1,7.90,13.17
14,כבד עוף קפוא.,טל-הל יסכה בעמ,"ק""ג",,1,15.90,15.90
15,פילה אמנון גדלים שונים נטו,נטו מלינדה סחר בעמ,"ק""ג",,1,32.90,32.90
16,פילה אמנון מאסטאר פוד,נטו מלינדה סחר בעמ,"ק""ג",,1,40,40
17,קולפן פרסה אלומיניום,אוהב ציון בעמ,"י""ח",,1,7.90,7.90
18,פילה אמנון קפוא,בלדי בעמ,"ק""ג",,1,32.90,32.90
19,פילה נקי נקי ענק,נטו מלינדה סחר בעמ,"ק""ג",,1,34.90,34.90
20,פילה אמנון גדלים שונים נטו,נטו מלינדה סחר בעמ,"ק""ג",,1,32.90,32.90
21,פילה אמנון גדלים שונים נטו,נטו מלינדה סחר בעמ,"ק""ג",,1,32.90,32.90
22,פילה אמנון דלידג גדלים שונים,נטו מלינדה סחר בעמ,"ק""ג",,1,32.90,32.90
23,פילה אמנון גדלים שונים,נטו מלינדה סחר בעמ,"ק""ג",,1,32.90,32.90
24,כבד עוף קפוא,טרי וחלק 2 בעמ,"ק""ג",,1,12.90,12.90
25,פילה אמנון גדלים שונים בלדי,בלדי בעמ,"ק""ג",,1,32.90,32.90
