,ItemName,ManufactureName,UnitQty,Quantity,QtyInPackage,ItemPrice,UnitOfMeasurePrice
0,דובדבן אדום ארוז,ביכורי הנגב מ.ד בעמ,"י""ח",,1,19.90,19.90
1,דג פילה סלמון טרי,ח.י. מעדני גורמה בעמ,"ק""ג",,1,99.90,99.90
2,מלון,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,4.90,4.90
3,משמש,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,29.90,29.90
4,בצל יבש,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,3.90,3.90
5,בצל לבן,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,3.90,3.90
6,גזר ארוז,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,3.90,3.90
7,כרוב אדום,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,4.90,4.90
8,מלפפון,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,4.90,4.90
9,סלק אדום,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,3.90,3.90
10,קישואים.,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,6.90,6.90
11,קולורבי,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,4.90,4.90
12,שומר,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,4.90,4.90
13,תפוח אדמה אדום,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,4.90,4.90
14,תאנים שקיל,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,30,30
15,דובדבן לבן ארוז,ביכורי הנגב מ.ד בעמ,"י""ח",,1,19.90,19.90
16,קנה 3יינות יקב רמת הגולן/הרי גליל קבל,היכל היין שקד גולן בעמ,"י""ח",,1,4.90,4.90
17,קוקטייל עוף טרי מקוצב,ח.י. מעדני גורמה בעמ,"ק""ג",,1,42.90,42.90
18,קישואים,פלאפל הגשר מרכז,"ק""ג",,1,6.90,6.90
19,יופלה תות 3%,תנובה בעמ ***,"י""ח",,1,5,3.33
20,יופלה פטל,תנובה בעמ ***,"י""ח",,1,5,3.33
21,יופלה דובדבן,תנובה בעמ ***,"י""ח",,1,5,3.33
22,יופלה אפרסק,תנובה בעמ ***,"י""ח",,1,5,3.33
23,שיפודי  פרגיות**.,ח.י. מעדני גורמה בעמ,"ק""ג",,1,69.90,69.90
24,סטייק פרגיות  עוף טרי**,ח.י. מעדני גורמה בעמ,"ק""ג",,1,69.90,69.90
25,פרגית עוף לתנור עם עצם טרי**,ח.י. מעדני גורמה בעמ,"ק""ג",,1,44.90,44.90
26,בשר טחון טרי מנתח מובחר,ח.י. מעדני גורמה בעמ,"ק""ג",,1,59.90,59.90
27,מוקה 1 ליטר תנובה,תנובה בעמ ***,"י""ח",,1,12.80,12.80
28,יוגורט תנובה 1.5% 200גרם,תנובה בעמ ***,"י""ח",,1,3.20,1.60
29,יוגורט תנובה 3% 200גרם,תנובה בעמ ***,"י""ח",,1,3.20,1.60
30,שוקו 1 ל`,תנובה בעמ ***,"י""ח",,1,11.90,11.90
31,תות קפוא 300ג  סנפרוסט,תנובה בשר,"י""ח",,1,19.90,3.98
32,סמוטיז צהוב 300ג.,תנובה בשר,"י""ח",,1,16.90,5.63
33,סמוטיז ירוק 300ג,תנובה בשר,"י""ח",,1,16.90,5.63
34,סמוטיז אדום 300ג,תנובה בשר,"י""ח",,1,16.90,5.63
35,שייק תות בננה  300ג.,תנובה בעמ ***,"י""ח",,1,17.90,5.97
36,שייק קייל מנגו בננה ופפאיה 300ג,תנובה בשר,"י""ח",,1,17.90,5.97
37,אוכמניות כחולות  מוקפאות 300ג,תנובה בשר,"י""ח",,1,16.90,5.63
38,מיקס פירות יער מוקפא  300ג,תנובה בשר,"י""ח",,1,16.90,5.63
39,אננס מוקפא 300ג,תנובה בשר,"י""ח",,1,16.90,5.63
40,מנגו מוקפא 300ג,תנובה בשר,"י""ח",,1,16.90,5.63
41,פטל שחור מוקפא 300ג,תנובה בשר,"י""ח",,1,16.90,5.63
